quadid,sentinelsite,tier3site,subsite,cellid,latitude,longitude,plot,plotsize,sampledate,samplemonth,sampleyear,biomass_gm,waterdepth,thatchheight,thatchdensity,pclive,pcdead,pcsoil,pclitter,pcaqveg,pcwater,sp1,pc_sp1,sp2,pc_sp2,sp3,pc_sp3,bioCOUNT,gps_accuracy,biotypha_gm2,bioscac_gm2,totalbiomass_gm2,salinity,distance,pc_wrack,herbbio,deadherbbio,phaubio,deadphaubio,ivfrbio,deadivfrbio,biomassstd_gm2,culmdensity_m2,culmdensitystd_m2
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,5/1/14,5,2014,75.6,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.35,15,8.72
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/00,9,2000,153.73,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.25,18,3.46
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/09,9,2009,65.21,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.56,12.33,11.02
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,5/1/03,5,2003,165.13,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.72,37,4.36
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,1/1/07,1,2007,69.24,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.75,18.67,17.79
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,1/1/01,1,2001,120.28,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.03,20.33,2.52
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,7/1/12,7,2012,87.27,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.08,20,13.89
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,11/1/01,11,2001,193.61,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.08,26,4.58
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,1/1/10,1,2010,53.48,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.93,10.67,9.87
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,7/1/11,7,2011,166.9,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.82,23,21.66
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/02,9,2002,152.97,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.58,23,7.94
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,11/1/13,11,2013,61.98,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,11,4.36
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/08,9,2008,84.51,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.69,14.67,12.66
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/06,9,2006,93.66,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.33,12.67,10.5
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/04,9,2004,169.35,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.93,23.33,14.98
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,7/1/00,7,2000,176.46,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.11,20,2.65
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,8/1/99,8,1999,221.5,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.92,27,4.58
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,7/1/01,7,2001,269.59,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.35,33,5.29
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,7/1/06,7,2006,102.85,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.76,18.33,16.5
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,11/1/12,11,2012,73.48,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,15,6.08
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,7/1/13,7,2013,57.87,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.96,11.33,5.13
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,1/1/08,1,2008,72.06,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5,17,16.82
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,5/1/01,5,2001,213.47,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.63,35.67,10.69
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,7/1/08,7,2008,84.2,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.69,15.33,16.2
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,3/1/08,3,2008,60.49,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.21,16.67,15.18
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,11/1/04,11,2004,137.36,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.98,20.33,14.74
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/01,9,2001,217.93,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.14,25,5.29
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/13,9,2013,64.76,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.64,12.67,6.66
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,7/1/03,7,2003,160.13,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,28,4.58
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,11/1/03,11,2003,134.61,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.04,24,9.17
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/99,9,1999,177.31,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.81,24.33,5.51
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/05,9,2005,88.48,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.18,14,10.54
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,5/1/04,5,2004,180.16,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.48,28.33,11.93
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,1/1/00,1,2000,104,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.45,17.33,2.08
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,1/1/14,1,2014,51.54,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,10,5.29
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/03,9,2003,126.69,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.52,22,11.14
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,7/1/05,7,2005,123.07,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.61,22.33,13.01
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,9/1/10,9,2010,84.44,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.39,13.33,11.93
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,7/1/02,7,2002,183.53,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.38,26,6.56
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,3/1/12,3,2012,90.47,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.96,35,29.46
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,1/1/09,1,2009,77.4,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.16,13.33,10.69
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,11/1/00,11,2000,160.15,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.99,19.33,3.06
TS_Ph2,Everglades,Everglades,.,1410858,25.40357,-80.6069,NA,0,7/1/10,7,2010,72.21,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.75,13.33,10.69
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,1/1/04,1,2004,88.68,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.76,27.33,11.85
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,11/1/10,11,2010,174.19,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.97,38,7.21
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,11/1/00,11,2000,109.29,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.34,24.33,3.51
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,11/1/11,11,2011,161.19,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3,40,7.81
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,11/1/06,11,2006,231.02,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.02,48.33,30.89
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,11/1/08,11,2008,194.65,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.79,36.33,18.61
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,11/1/09,11,2009,131.62,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.62,27.33,5.69
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,11/1/05,11,2005,155.11,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.8,36.67,21.96
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,1/1/11,1,2011,147.69,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.86,38.67,9.07
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,1/1/00,1,2000,313.96,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.1,45.67,3.79
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/02,3,2002,120.18,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.78,34.33,8.5
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/03,3,2003,118.17,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.75,47.67,10.6
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/06,3,2006,154.91,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.34,37.67,16.77
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/04,3,2004,119.93,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.64,36.67,6.51
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/00,5,2000,219.03,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.49,40.67,6.66
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/07,5,2007,206.92,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.45,52.33,31.09
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/08,5,2008,154.47,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.66,38.67,9.24
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/09,5,2009,178.93,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.27,40.67,15.57
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/06,5,2006,158.18,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.39,35.33,17.04
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,7/1/05,7,2005,203.05,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.5,50,18.19
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,9/1/02,9,2002,132.26,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.55,38,8.19
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,9/1/11,9,2011,152.88,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.91,31.67,10.97
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,1/1/03,1,2003,117.65,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.38,45.33,10.79
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,1/1/05,1,2005,175.88,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.35,39.33,5.86
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,1/1/06,1,2006,152.31,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.24,32.33,18.82
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,1/1/12,1,2012,159.83,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.25,40,5.57
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,1/1/07,1,2007,228.22,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.4,49.33,23.97
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,1/1/13,1,2013,52.99,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.33,14.67,4.16
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,1/1/02,1,2002,193.65,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.06,38.33,1.15
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,11/1/03,11,2003,102.28,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.38,26.67,7.64
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,11/1/01,11,2001,154.55,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.11,39,9.17
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,11/1/07,11,2007,293.65,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.27,51.67,33.31
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,11/1/02,11,2002,151.24,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.95,53.67,10.07
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/05,3,2005,178.93,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.52,53.33,11.93
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/00,3,2000,228.41,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.27,43.67,7.09
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/01,3,2001,126.83,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.03,42.33,9.07
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/07,3,2007,208.81,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.48,46,24.27
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/13,3,2013,46.7,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.57,18.67,7.23
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/14,3,2014,51.87,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.24,18.33,8.5
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/10,3,2010,167.98,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.29,53.33,10.69
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,3/1/11,3,2011,174.49,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.4,39.33,12.1
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/03,5,2003,115.96,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.08,39,4.36
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/04,5,2004,141.91,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.61,35,13.23
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/12,5,2012,96.25,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.82,33.67,6.11
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/02,5,2002,130.33,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.41,39.67,12.58
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/11,5,2011,127.4,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.46,33.33,6.35
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/10,5,2010,195.72,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.72,52.33,6.51
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,5/1/05,5,2005,203.94,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.67,57.33,15.57
TS_Ph1b,Everglades,Everglades,.,1639453,25.43858,-80.59027,NA,0,7/1/12,7,2012,105.39,0,0,NA,0,0,0,NA,0,0,Cladium jamaicense,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82,32.33,5.13
