site_id,plot_id,plot_notes,plot_area_m2,tree_id,species_code,tree_height,dbh,d30,crown_width,notes
MC-16,B,small/short,9,13,LR,1.4,NA,2.5,0.75,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,14,LR,1.1,NA,2.4,0.6,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,15,LR,1.15,NA,2.5,1.5,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,16,LR,1.3,NA,4.1,1,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,17,LR,1.4,NA,3.1,0.9,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,18,LR,1.4,NA,2.1,0.5,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,19,LR,0.7,NA,1.4,0.5,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,20,LR,1.52,NA,3,0.7,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,21,LR,1.56,NA,2.8,1,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,22,LR,1.7,NA,3.3,1.5,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,23,LR,1.56,NA,4.2,1,plot16; gps 067; think we measured all in 3x3
MC-16,B,small/short,9,24,LR,1.54,NA,2.9,0.8,plot16; gps 067; think we measured all in 3x3
MC-16,C,small/short,9,1,LR,1.25,NA,4.2,1,plot 16; gps 066; think we measured all in 3x3
MC-16,C,small/short,9,2,LR,1.15,NA,3.6,1.1,plot 16; gps 066; think we measured all in 3x3
MC-16,C,small/short,9,3,LR,1.2,NA,4.1,1.72,plot 16; gps 066; think we measured all in 3x3
MC-16,C,small/short,9,4,LR,1.2,NA,6.4,2.55,plot 16; gps 066; think we measured all in 3x3
MC-16,C,small/short,9,5,LR,1.3,NA,4.9,1.2,plot 16; gps 066; think we measured all in 3x3
MC-16,C,small/short,9,6,LR,1.1,NA,3.2,1.3,plot 16; gps 066; think we measured all in 3x3
MC-16,C,small/short,9,7,LR,1.24,NA,2.9,0.8,plot 16; gps 066; think we measured all in 3x3
MC-16,C,small/short,9,8,LR,1.32,NA,2.8,0.7,plot 16; gps 066; think we measured all in 3x3
MC-16,C,small/short,9,9,LR,1.4,0.5,3.9,1.3,plot 16; gps 066; think we measured all in 3x3
MC-19,A,mature,9,1,LR,8,6.5,NA,3.1,plot 5 
MC-19,A,mature,9,2,LR,3.2,2.5,NA,2,plot 5 
MC-19,A,mature,9,3,LR,7.5,7,NA,2.5,plot 5 
MC-19,A,mature,9,4,LR,1.4,0.5,NA,1,plot 5 
MC-19,A,mature,9,5,LR,2,2.1,NA,1.5,plot 5 
MC-19,A,mature,9,6,LR,1.8,2,NA,1.1,plot 5 
MC-19,A,mature,9,7,LR,2.1,2.3,NA,1.4,plot 5 
MC-19,A,mature,9,8,LR,3.5,3.3,NA,1.7,plot 5 
MC-19,A,mature,9,9,LR,7,6.3,NA,2,plot 5 
MC-19,A,mature,9,10,LR,3.5,4,NA,0.5,plot 5 
MC-19,A,mature,9,11,LR,6.5,6.4,NA,2.5,plot 5 
MC-19,A,mature,9,12,LR,6,6.3,NA,1,plot 5 
MC-19,A,mature,9,13,LR,5.4,4.8,NA,0.75,plot 5 
MC-19,A,mature,9,14,LR,8.2,6.7,NA,1.5,plot 5 
MC-19,B,mature,9,1,LR,7.5,5.7,NA,1.25,plot 4; took tree measurements for all trees in 3x3; crown hopefully not needed; hard to measure
MC-19,B,mature,9,2,LR,4.6,3.1,NA,1.52,plot 4; took tree measurements for all trees in 3x3; crown hopefully not needed; hard to measure
MC-19,B,mature,9,3,LR,6,5.9,NA,2,plot 4; took tree measurements for all trees in 3x3; crown hopefully not needed; hard to measure
MC-19,B,mature,9,4,LR,6,5.7,NA,2.5,plot 4; took tree measurements for all trees in 3x3; crown hopefully not needed; hard to measure
MC-19,B,mature,9,5,LR,7,4.1,NA,0.75,plot 4; took tree measurements for all trees in 3x3; crown hopefully not needed; hard to measure
MC-19,B,mature,9,6,LR,6.5,4.3,NA,1.8,plot 4; took tree measurements for all trees in 3x3; crown hopefully not needed; hard to measure
MC-19,B,mature,9,7,LR,2.5,1.8,NA,0.75,plot 4; took tree measurements for all trees in 3x3; crown hopefully not needed; hard to measure
MC-19,B,mature,9,8,LR,6.5,6.7,NA,2.4,plot 4; took tree measurements for all trees in 3x3; crown hopefully not needed; hard to measure
MC-19,B,mature,9,9,LR,4.5,4,NA,2.3,plot 4; took tree measurements for all trees in 3x3; crown hopefully not needed; hard to measure
MC-19,B,mature,9,10,LR,7,5.6,NA,2.5,plot 4; took tree measurements for all trees in 3x3; crown hopefully not needed; hard to measure
MC-19,B,mature,9,11,LR,3.2,3.4,NA,2.2,plot 4; took tree measurements for all trees in 3x3; crown hopefully not needed; hard to measure
MC-19,C,mature,9,1,LR,7,8.4,NA,2.5,plot 6 
MC-19,C,mature,9,2,LR,3.4,1.5,NA,2.2,plot 6 
MC-19,C,mature,9,3,LR,4,4,NA,1.4,plot 6 
MC-19,C,mature,9,4,LR,3.4,2.7,NA,0.5,plot 6 
MC-19,C,mature,9,5,LR,2.4,2,NA,0.75,plot 6 
MC-19,C,mature,9,6,LR,3.6,3.5,NA,1.4,plot 6 
MC-19,C,mature,9,7,LR,7.5,6.2,NA,2,plot 6 
MC-19,C,mature,9,8,LR,7,6,NA,1.8,plot 6 
MC-19,C,mature,9,9,LR,7,6.4,NA,2.5,plot 6 
MC-19,C,mature,9,10,LR,5,4.3,NA,1.5,plot 6 
MC-19,C,mature,9,11,LR,3.1,3,NA,1.5,plot 6 
MC-19,C,mature,9,12,LR,7.5,6.1,NA,1.75,plot 6 
MC-19,C,mature,9,13,LR,8,7.1,NA,2.5,plot 6 
MC-19,C,mature,9,14,LR,8,9.1,NA,3,plot 6 
MC-19,C,mature,9,15,LR,6,8,NA,1.9,plot 6 
MC-19,C,mature,9,16,LR,6.5,7.4,NA,1.5,plot 6 
MC-19,C,mature,9,17,LR,1.5,1.3,NA,1,plot 6 
MC-22,A,small,2.25,1,AG,2.2,1.1,NA,0.74,plot 3
MC-22,A,small,2.25,2,AG,2.1,1.1,NA,0.45,plot 3
MC-22,A,small,2.25,3,AG,1.6,0.5,NA,0.15,plot 3
MC-22,A,small,2.25,4,AG,1.4,0.4,NA,0.15,plot 3
MC-22,A,small,2.25,5,AG,2,1.7,NA,0.45,plot 3
MC-22,A,small,2.25,6,AG,1.5,0.4,NA,0.33,plot 3
MC-22,A,small,2.25,7,AG,1.8,0.7,NA,0.5,plot 3
MC-22,A,small,2.25,8,AG,1.7,0.6,NA,0.6,plot 3
MC-22,B,small,2.25,1,AG,1.9,0.8,NA,1.1,plot 2
MC-22,B,small,2.25,2,AG,1.4,0.6,NA,0.6,plot 2
MC-22,B,small,2.25,3,AG,1.4,0.6,NA,0.85,plot 2
MC-22,B,small,2.25,4,AG,1.9,1.2,NA,1,plot 2
MC-22,B,small,2.25,5,AG,2,1,NA,0.45,plot 2
MC-22,B,small,2.25,6,AG,1.55,0.7,NA,0.9,plot 2
MC-22,B,small,2.25,7,AG,2.6,1.8,NA,0.9,plot 2
MC-22,B,small,2.25,8,AG,1.6,0.6,NA,0.2,plot 2
MC-22,B,small,2.25,9,AG,1.95,0.7,NA,0.45,plot 2
MC-22,B,small,2.25,10,AG,1.65,0.6,NA,0.25,plot 2
MC-22,B,small,2.25,11,AG,2.2,0.8,NA,0.9,plot 2
MC-22,B,small,2.25,12,AG,1.9,0.6,NA,0.4,plot 2
MC-22,B,small,2.25,13,AG,1.6,0.5,NA,0.2,plot 2
MC-22,B,small,2.25,14,AG,1.4,0.4,NA,0.1,plot 2
MC-22,B,small,2.25,15,AG,2,1.1,NA,0.85,plot 2
MC-22,C,Short,2.25,1,LR,1.65,0.6,NA,0.14,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,2,LR,2.05,1,NA,0.16,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,3,LR,1,0.7,NA,0.13,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,4,LR,1.6,0.7,NA,0.19,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,5,LR,1.05,0.7,NA,0.15,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,6,LR,1.6,0.8,NA,0.11,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,7,LR,1.5,0.8,NA,0.18,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,8,LR,1.95,0.95,NA,0.28,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,9,LR,2.1,1.2,NA,0.3,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,10,LR,1.55,0.6,NA,0.19,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,11,LR,1.6,0.8,NA,0.24,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,12,LR,1.75,0.7,NA,0.33,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,13,AG,2,1.4,NA,0.54,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,14,AG,1.75,1.2,NA,0.87,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,15,AG,1.8,1.25,NA,0.35,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,16,LR,1.4,1.2,NA,0.23,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,17,LR,1.7,1,NA,0.34,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,18,LR,1.55,0.6,NA,0.34,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,19,AG,1.8,1,NA,0.33,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,20,AG,1.9,1,NA,0.29,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,21,LR,1.9,1.1,NA,0.28,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,22,AG,1.7,0.6,NA,0.2,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,23,AG,2,0.8,NA,0.34,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,24,LR,1.3,0.6,NA,0.2,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,25,AG,1.6,0.5,NA,0.18,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,26,AG,1.9,0.9,NA,0.7,plot 1; 3x3; measured trees in 1.5
MC-22,C,Short,2.25,27,AG,1.75,0.7,NA,0.5,plot 1; 3x3; measured trees in 1.5
